cluster,LATITUDE_DD,LONGITUDE_DD,AVG_OXYGEN,MIN_OXYGEN,MAX_OXYGEN,DAY_OF_YEAR,AVG_DATE,20_year_pop
41,45.51672629032258,-83.41680709677419,11.572728813559324,9.05,13.89,243.4,08/31,711.0
42,45.534874893617015,-82.04506510638298,10.350894736842106,8.97,12.98,241.27272727272728,08/29,1668.0
43,45.65167113207548,-82.6480233962264,11.134038461538465,9.22,13.39,243.8,08/31,1789.0
44,45.67467884615384,-84.18586038461538,11.15191304347826,9.03,13.71,242.44444444444449,08/30,713.0
45,45.70340446808511,-84.51129936170213,9.516947368421052,9.16,10.43,239.6,08/27,11579.0
46,45.74998941176471,-83.91654705882354,11.510739130434784,9.07,13.47,245.125,09/02,1750.0
47,45.766615925925926,-83.02836851851852,10.438772727272728,9.14,12.46,241.72727272727272,08/29,887.0
48,45.81331275862069,-84.75453977011495,10.48609756097561,9.1,12.9,241.66666666666663,08/29,2196.0
49,45.845035,-84.5665397826087,10.9385,9.22,12.82,242.44444444444449,08/30,449.0
50,45.86312815384616,-84.29518692307693,11.23651724137931,9.28,13.66,239.7,08/27,1264.0
51,45.86563510204081,-83.26441224489795,10.174238095238096,9.07,13.09,241.63636363636363,08/29,5856.0
52,45.90157333333333,-83.51877537037036,10.420192307692307,8.93,12.27,241.72727272727272,08/29,2886.0
53,45.9168247826087,-82.16127999999999,9.53056,8.43,10.94,239.5,08/27,58289.0
54,45.93477029411765,-83.89993382352941,10.84,9.14,12.87,242.0909090909091,08/30,3796.0
55,45.936895777777785,-82.75852488888889,9.547681818181818,8.64,10.98,241.88888888888889,08/29,2581.0
56,45.96994885245902,-83.19801852459017,11.03775,9.2,14.23,239.1,08/27,4339.0
57,45.999572692307694,-83.43332307692307,10.715464285714289,8.05,12.5,239.1,08/27,3586.0
58,45.99994145833333,-82.54981416666666,9.551416666666666,8.61,11.16,239.6,08/27,33635.0
59,46.0417437037037,-83.852885,10.1764,8.99,13.29,239.6,08/27,3912.0
60,46.05543142857143,-81.99986510204081,9.448260869565216,8.05,15.46,239.5,08/27,58.0
61,46.06109416666666,-82.19694916666667,9.282095238095238,7.97,10.14,241.77777777777777,08/29,9243.0
62,46.07817982142857,-84.02811089285714,9.339761904761904,8.52,10.54,225.33333333333331,08/13,162780.0
63,46.09161232876712,-82.55619890410959,9.760166666666668,8.56,12.07,237.77777777777777,08/25,12339.0
64,46.122986764705885,-82.8859480882353,9.650914285714284,8.72,11.14,239.6,08/27,5308.0
65,46.13653714285714,-83.67169530612246,9.956590909090908,8.96,12.01,239.7,08/27,35500.0
66,46.186500625,-83.35532291666667,10.379545454545454,8.83,11.86,239.6,08/27,74270.0
67,46.23330023809524,-83.74612761904761,10.23127659574468,8.64,12.11,231.72727272727272,08/19,38780.0
