,SHIP_NAME,WATER_BODY,CSN,STN_DATE,CODE,DEPTH_FROM,DETECTION,FLAG,VALUE,ABBREV,FULL_NAME,UNITS,LATITUDE_DD,LONGITUDE_DD
240548,CCGS LIMNOS,LAKE SUPERIOR,5,2016-05-26 15:40:00,100,0.0,,,8.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.71361,-85.81806
141637,CCGS LIMNOS,LAKE SUPERIOR,6,2016-08-04 16:42:00,100,0.0,,,21.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.71361,-85.81778
201971,CCGS LIMNOS,LAKE SUPERIOR,50,2008-05-13 11:56:00,100,0.0,0.0,,3.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.71389,-85.81861
273692,CCGS LIMNOS,LAKE SUPERIOR,46,2003-05-22 18:46:00,100,0.0,,,7.8,TEMP,TEMPERATURE (OF WATER),DEG C,46.71417,-85.81806
151835,CCGS LIMNOS,LAKE SUPERIOR,1,2005-08-07 12:37:00,100,0.0,0.0,,19.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.715,-84.78667
201134,CCGS LIMNOS,LAKE SUPERIOR,51,2008-09-25 00:55:00,100,0.0,0.0,,16.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.72583,-84.79
43151,CCGS LIMNOS,LAKE SUPERIOR,2,2008-09-17 01:23:00,100,0.0,0.0,,17.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.72667,-84.78778
81778,CCGS LIMNOS,LAKE SUPERIOR,2,2016-05-25 21:04:00,100,0.0,,,4.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.73222,-84.79306
293785,CCGS LIMNOS,LAKE SUPERIOR,2,2016-08-04 02:24:00,100,0.0,,,21.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.73306,-84.79278
253975,CCGS LIMNOS,LAKE SUPERIOR,3,2019-09-05 00:00:00,100,0.0,,,18.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.73306,-84.78917
44117,CCGS LIMNOS,LAKE SUPERIOR,2,2003-05-16 16:25:00,100,0.0,,,2.6,TEMP,TEMPERATURE (OF WATER),DEG C,46.73333,-84.79306
90884,CCGS LIMNOS,LAKE SUPERIOR,2,2013-05-15 04:35:00,100,0.0,0.0,,2.0,TEMP,TEMPERATURE (OF WATER),DEG C,46.73361,-84.79333
300407,CCGS LIMNOS,LAKE SUPERIOR,39,2019-05-27 00:00:00,100,0.0,,,2.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.73417,-84.78861
100007,CCGS LIMNOS,LAKE SUPERIOR,2,2008-05-07 01:48:00,100,0.0,0.0,,1.8,TEMP,TEMPERATURE (OF WATER),DEG C,46.73583,-84.79528
123672,CCGS LIMNOS,LAKE SUPERIOR,23,2005-08-15 14:13:00,100,0.0,0.0,,20.5,TEMP,TEMPERATURE (OF WATER),DEG C,46.74667,-90.69972
